=== FIGHT: no_warrior (seed AAAA0001) ===
screenshot: playtest_wren_no_warrior_00_select
classes picked before Start: ["Priest", "Geysermancer", "Siege Master", "Abomination"] (wanted ["Priest", "Geysermancer", "Siege Master", "Abomination"])
screenshot: playtest_wren_no_warrior_01_start
screenshot: playtest_wren_no_warrior_02_tick30
screenshot: playtest_wren_no_warrior_03_tick120
screenshot: playtest_wren_no_warrior_04_tick210
screenshot: playtest_wren_no_warrior_05_tick300
screenshot: playtest_wren_no_warrior_06_tick390
screenshot: playtest_wren_no_warrior_07_tick480
screenshot: playtest_wren_no_warrior_08_end
outcome: PLAYER_WIN at tick 629 (21.0s), survivors 1/4, frames waited 3417
--- event log for no_warrior ---
  tick 0  FIGHT_START  source=-1 target=-1 amount=0 action=
  tick 87  ACTION_START  source=11 target=0 amount=0 action=cultist_bolt
  tick 88  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 88  ACTION_START  source=0 target=4 amount=0 action=priest_smite
  tick 89  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 89  ACTION_START  source=2 target=4 amount=0 action=siege_shot
  tick 90  ACTION_FIRE  source=1 target=4 amount=0 action=geyser_blast
  tick 90  DAMAGE  source=1 target=4 amount=3 action=geyser_blast
  tick 90  DEATH  source=1 target=4 amount=0 action=geyser_blast
  tick 90  ACTION_FIRE  source=9 target=3 amount=0 action=goblin_arrow
  tick 90  DAMAGE  source=9 target=3 amount=7 action=goblin_arrow
  tick 93  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 93  ACTION_FIRE  source=8 target=1 amount=0 action=goblin_arrow
  tick 93  DAMAGE  source=8 target=1 amount=8 action=goblin_arrow
  tick 96  ACTION_FIRE  source=0 target=4 amount=0 action=priest_smite
  tick 96  MISS  source=0 target=4 amount=0 action=priest_smite
  tick 96  ACTION_FIRE  source=11 target=0 amount=0 action=cultist_bolt
  tick 96  DAMAGE  source=11 target=0 amount=7 action=cultist_bolt
  tick 96  STATUS_APPLIED  source=11 target=0 amount=0 action=cultist_bolt
  tick 97  DAMAGE  source=-1 target=0 amount=1 action=
  tick 97  ACTION_FIRE  source=2 target=4 amount=0 action=siege_shot
  tick 97  MISS  source=2 target=4 amount=0 action=siege_shot
  tick 99  ACTION_START  source=9 target=3 amount=0 action=goblin_arrow
  tick 100  ACTION_FIRE  source=10 target=3 amount=0 action=goblin_arrow
  tick 100  DAMAGE  source=10 target=3 amount=7 action=goblin_arrow
  tick 102  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 102  ACTION_START  source=1 target=8 amount=0 action=geyser_blast
  tick 103  ACTION_START  source=8 target=1 amount=0 action=goblin_arrow
  tick 106  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 106  ACTION_START  source=0 target=11 amount=0 action=priest_smite
  tick 106  ACTION_FIRE  source=9 target=3 amount=0 action=goblin_arrow
  tick 106  DAMAGE  source=9 target=3 amount=7 action=goblin_arrow
  tick 107  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 107  ACTION_START  source=2 target=8 amount=0 action=siege_shot
  tick 107  ACTION_START  source=11 target=0 amount=0 action=cultist_bolt
  tick 110  ACTION_FIRE  source=8 target=1 amount=0 action=goblin_arrow
  tick 110  DAMAGE  source=8 target=1 amount=8 action=goblin_arrow
  tick 112  ACTION_FIRE  source=1 target=8 amount=0 action=geyser_blast
  tick 112  DAMAGE  source=1 target=8 amount=6 action=geyser_blast
  tick 113  DAMAGE  source=-1 target=0 amount=1 action=
  tick 114  ACTION_FIRE  source=0 target=11 amount=0 action=priest_smite
  tick 114  DAMAGE  source=0 target=11 amount=11 action=priest_smite
  tick 115  ACTION_FIRE  source=2 target=8 amount=0 action=siege_shot
  tick 115  DAMAGE  source=2 target=8 amount=22 action=siege_shot
  tick 115  DEATH  source=2 target=8 amount=0 action=siege_shot
  tick 116  ACTION_FIRE  source=11 target=0 amount=0 action=cultist_bolt
  tick 116  DAMAGE  source=11 target=0 amount=7 action=cultist_bolt
  tick 116  STATUS_APPLIED  source=11 target=0 amount=0 action=cultist_bolt
  tick 123  ACTION_START  source=9 target=3 amount=0 action=goblin_arrow
  tick 124  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 124  ACTION_START  source=0 target=11 amount=0 action=priest_smite
  tick 124  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 124  ACTION_START  source=1 target=11 amount=0 action=geyser_blast
  tick 125  DAMAGE  source=-1 target=0 amount=1 action=
  tick 128  DAMAGE  source=-1 target=0 amount=1 action=
  tick 129  DAMAGE  source=-1 target=0 amount=1 action=
  tick 130  ACTION_START  source=11 target=0 amount=0 action=cultist_bolt
  tick 130  DAMAGE  source=-1 target=0 amount=1 action=
  tick 130  ACTION_FIRE  source=9 target=3 amount=0 action=goblin_arrow
  tick 130  DAMAGE  source=9 target=3 amount=7 action=goblin_arrow
  tick 132  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 132  ACTION_START  source=2 target=9 amount=0 action=siege_shot
  tick 132  ACTION_FIRE  source=0 target=11 amount=0 action=priest_smite
  tick 132  DAMAGE  source=0 target=11 amount=14 action=priest_smite
  tick 134  ACTION_FIRE  source=1 target=11 amount=0 action=geyser_blast
  tick 134  DAMAGE  source=1 target=11 amount=11 action=geyser_blast
  tick 134  DAMAGE  source=1 target=13 amount=14 action=geyser_blast
  tick 138  DAMAGE  source=-1 target=0 amount=1 action=
  tick 139  ACTION_START  source=9 target=3 amount=0 action=goblin_arrow
  tick 139  ACTION_FIRE  source=11 target=0 amount=0 action=cultist_bolt
  tick 139  DAMAGE  source=11 target=0 amount=7 action=cultist_bolt
  tick 139  STATUS_APPLIED  source=11 target=0 amount=0 action=cultist_bolt
  tick 140  DAMAGE  source=-1 target=0 amount=1 action=
  tick 140  ACTION_FIRE  source=2 target=9 amount=0 action=siege_shot
  tick 140  DAMAGE  source=2 target=9 amount=28 action=siege_shot
  tick 140  DEATH  source=2 target=9 amount=0 action=siege_shot
  tick 141  DAMAGE  source=-1 target=0 amount=1 action=
  tick 142  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 142  ACTION_START  source=0 target=11 amount=0 action=priest_smite
  tick 142  RESOURCE_SPENT  source=3 target=-1 amount=40 action=abomination_immolate
  tick 142  ACTION_START  source=3 target=10 amount=0 action=abomination_immolate
  tick 150  ACTION_START  source=11 target=0 amount=0 action=cultist_bolt
  tick 150  ACTION_FIRE  source=0 target=11 amount=0 action=priest_smite
  tick 150  DAMAGE  source=0 target=11 amount=9 action=priest_smite
  tick 151  DAMAGE  source=-1 target=0 amount=1 action=
  tick 151  ACTION_FIRE  source=3 target=10 amount=0 action=abomination_immolate
  tick 151  DAMAGE  source=3 target=10 amount=12 action=abomination_immolate
  tick 152  DAMAGE  source=-1 target=0 amount=1 action=
  tick 159  ACTION_FIRE  source=11 target=0 amount=0 action=cultist_bolt
  tick 159  DAMAGE  source=11 target=0 amount=7 action=cultist_bolt
  tick 159  STATUS_APPLIED  source=11 target=0 amount=0 action=cultist_bolt
  tick 160  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 160  ACTION_START  source=0 target=13 amount=0 action=priest_smite
  tick 161  DAMAGE  source=-1 target=0 amount=1 action=
  tick 162  DAMAGE  source=-1 target=0 amount=1 action=
  tick 164  ACTION_START  source=3 target=10 amount=0 action=abomination_claw
  tick 164  DAMAGE  source=-1 target=0 amount=1 action=
  tick 168  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 168  ACTION_START  source=2 target=12 amount=0 action=siege_shot
  tick 168  ACTION_FIRE  source=0 target=13 amount=0 action=priest_smite
  tick 168  DAMAGE  source=0 target=13 amount=17 action=priest_smite
  tick 168  DAMAGE  source=-1 target=0 amount=1 action=
  tick 169  DAMAGE  source=-1 target=0 amount=1 action=
  tick 170  ACTION_START  source=11 target=0 amount=0 action=cultist_bolt
  tick 170  ACTION_FIRE  source=3 target=10 amount=0 action=abomination_claw
  tick 170  MISS  source=3 target=10 amount=0 action=abomination_claw
  tick 176  ACTION_FIRE  source=2 target=12 amount=0 action=siege_shot
  tick 176  DAMAGE  source=2 target=12 amount=17 action=siege_shot
  tick 179  DAMAGE  source=-1 target=0 amount=1 action=
  tick 179  ACTION_FIRE  source=11 target=0 amount=0 action=cultist_bolt
  tick 179  DAMAGE  source=11 target=0 amount=7 action=cultist_bolt
  tick 179  STATUS_APPLIED  source=11 target=0 amount=0 action=cultist_bolt
  tick 182  DAMAGE  source=-1 target=0 amount=1 action=
  tick 183  ACTION_START  source=3 target=12 amount=0 action=abomination_claw
  tick 184  DAMAGE  source=-1 target=0 amount=1 action=
  tick 187  DAMAGE  source=-1 target=0 amount=1 action=
  tick 189  DAMAGE  source=-1 target=0 amount=1 action=
  tick 189  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_claw
  tick 189  DAMAGE  source=3 target=12 amount=13 action=abomination_claw
  tick 189  STATUS_APPLIED  source=3 target=12 amount=0 action=abomination_claw
  tick 190  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 190  DAMAGE  source=-1 target=12 amount=1 action=
  tick 192  DAMAGE  source=-1 target=0 amount=1 action=
  tick 192  DAMAGE  source=-1 target=12 amount=1 action=
  tick 193  DAMAGE  source=-1 target=12 amount=1 action=
  tick 194  DAMAGE  source=-1 target=0 amount=1 action=
  tick 194  DAMAGE  source=-1 target=12 amount=1 action=
  tick 195  DAMAGE  source=-1 target=12 amount=1 action=
  tick 198  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 198  ACTION_START  source=2 target=10 amount=0 action=siege_shot
  tick 199  ACTION_START  source=3 target=12 amount=0 action=abomination_claw
  tick 199  DAMAGE  source=-1 target=0 amount=1 action=
  tick 199  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 199  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 199  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 200  DAMAGE  source=-1 target=0 amount=1 action=
  tick 200  DAMAGE  source=-1 target=1 amount=1 action=
  tick 201  ACTION_START  source=12 target=3 amount=0 action=ghoul_maul
  tick 201  DAMAGE  source=-1 target=1 amount=1 action=
  tick 201  DAMAGE  source=-1 target=12 amount=1 action=
  tick 202  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 202  DAMAGE  source=-1 target=12 amount=1 action=
  tick 203  DAMAGE  source=-1 target=12 amount=1 action=
  tick 204  DAMAGE  source=-1 target=12 amount=1 action=
  tick 205  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_claw
  tick 205  DAMAGE  source=3 target=12 amount=14 action=abomination_claw
  tick 205  STATUS_APPLIED  source=3 target=12 amount=0 action=abomination_claw
  tick 205  DAMAGE  source=-1 target=12 amount=1 action=
  tick 206  ACTION_FIRE  source=2 target=10 amount=0 action=siege_shot
  tick 206  DAMAGE  source=2 target=10 amount=15 action=siege_shot
  tick 206  DAMAGE  source=-1 target=12 amount=1 action=
  tick 207  DAMAGE  source=-1 target=12 amount=1 action=
  tick 208  DAMAGE  source=-1 target=0 amount=1 action=
  tick 208  DAMAGE  source=-1 target=1 amount=1 action=
  tick 209  ACTION_FIRE  source=10 target=3 amount=0 action=goblin_arrow
  tick 209  DAMAGE  source=10 target=3 amount=7 action=goblin_arrow
  tick 209  DAMAGE  source=-1 target=12 amount=1 action=
  tick 210  DAMAGE  source=-1 target=1 amount=1 action=
  tick 211  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 211  DAMAGE  source=-1 target=12 amount=1 action=
  tick 212  DAMAGE  source=-1 target=0 amount=1 action=
  tick 212  DAMAGE  source=-1 target=12 amount=1 action=
  tick 213  DAMAGE  source=-1 target=0 amount=1 action=
  tick 213  DAMAGE  source=-1 target=12 amount=1 action=
  tick 214  DAMAGE  source=-1 target=1 amount=1 action=
  tick 214  ACTION_FIRE  source=12 target=3 amount=0 action=ghoul_maul
  tick 214  DAMAGE  source=12 target=3 amount=18 action=ghoul_maul
  tick 214  DAMAGE  source=-1 target=12 amount=1 action=
  tick 215  ACTION_START  source=3 target=12 amount=0 action=abomination_claw
  tick 215  DAMAGE  source=-1 target=12 amount=1 action=
  tick 216  DAMAGE  source=-1 target=0 amount=1 action=
  tick 216  DAMAGE  source=-1 target=12 amount=1 action=
  tick 217  DAMAGE  source=-1 target=12 amount=1 action=
  tick 218  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 218  DAMAGE  source=-1 target=12 amount=1 action=
  tick 219  DAMAGE  source=-1 target=0 amount=1 action=
  tick 220  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 220  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 220  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 220  DAMAGE  source=-1 target=12 amount=1 action=
  tick 221  DAMAGE  source=-1 target=1 amount=1 action=
  tick 221  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_claw
  tick 221  DAMAGE  source=3 target=12 amount=13 action=abomination_claw
  tick 221  STATUS_APPLIED  source=3 target=12 amount=0 action=abomination_claw
  tick 221  DAMAGE  source=-1 target=12 amount=1 action=
  tick 222  DAMAGE  source=-1 target=12 amount=1 action=
  tick 223  DAMAGE  source=-1 target=0 amount=1 action=
  tick 223  DAMAGE  source=-1 target=1 amount=1 action=
  tick 224  DAMAGE  source=-1 target=0 amount=1 action=
  tick 224  DAMAGE  source=-1 target=12 amount=1 action=
  tick 225  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 225  ACTION_START  source=1 target=13 amount=0 action=geyser_blast
  tick 225  DAMAGE  source=-1 target=0 amount=1 action=
  tick 225  ACTION_FIRE  source=10 target=3 amount=0 action=goblin_arrow
  tick 225  DAMAGE  source=10 target=3 amount=7 action=goblin_arrow
  tick 225  DAMAGE  source=-1 target=12 amount=1 action=
  tick 226  DAMAGE  source=-1 target=12 amount=1 action=
  tick 227  DAMAGE  source=-1 target=0 amount=1 action=
  tick 227  DAMAGE  source=-1 target=1 amount=1 action=
  tick 227  DAMAGE  source=-1 target=12 amount=1 action=
  tick 228  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 228  ACTION_START  source=2 target=10 amount=0 action=siege_shot
  tick 229  ACTION_START  source=12 target=3 amount=0 action=ghoul_maul
  tick 229  DAMAGE  source=-1 target=12 amount=1 action=
  tick 230  DAMAGE  source=-1 target=0 amount=1 action=
  tick 231  RESOURCE_SPENT  source=3 target=-1 amount=40 action=abomination_immolate
  tick 231  ACTION_START  source=3 target=12 amount=0 action=abomination_immolate
  tick 232  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 232  DAMAGE  source=-1 target=12 amount=1 action=
  tick 233  DAMAGE  source=-1 target=12 amount=1 action=
  tick 234  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 234  DAMAGE  source=-1 target=1 amount=1 action=
  tick 234  DAMAGE  source=-1 target=12 amount=1 action=
  tick 235  ACTION_FIRE  source=1 target=13 amount=0 action=geyser_blast
  tick 235  DAMAGE  source=1 target=13 amount=7 action=geyser_blast
  tick 235  DAMAGE  source=-1 target=1 amount=1 action=
  tick 236  DAMAGE  source=-1 target=1 amount=1 action=
  tick 236  ACTION_FIRE  source=2 target=10 amount=0 action=siege_shot
  tick 236  DAMAGE  source=2 target=10 amount=1 action=siege_shot
  tick 236  DEATH  source=2 target=10 amount=0 action=siege_shot
  tick 236  DAMAGE  source=-1 target=12 amount=1 action=
  tick 237  DAMAGE  source=-1 target=0 amount=1 action=
  tick 237  DAMAGE  source=-1 target=12 amount=1 action=
  tick 238  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 238  ACTION_START  source=0 target=13 amount=0 action=priest_smite
  tick 238  DAMAGE  source=-1 target=12 amount=1 action=
  tick 239  DAMAGE  source=-1 target=12 amount=1 action=
  tick 240  DAMAGE  source=-1 target=0 amount=1 action=
  tick 240  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_immolate
  tick 240  DAMAGE  source=3 target=12 amount=12 action=abomination_immolate
  tick 240  DAMAGE  source=-1 target=12 amount=1 action=
  tick 241  DAMAGE  source=-1 target=1 amount=1 action=
  tick 241  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 241  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 241  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 241  DAMAGE  source=-1 target=12 amount=1 action=
  tick 242  ACTION_FIRE  source=12 target=3 amount=0 action=ghoul_maul
  tick 242  DAMAGE  source=12 target=3 amount=18 action=ghoul_maul
  tick 242  DAMAGE  source=-1 target=12 amount=1 action=
  tick 243  DAMAGE  source=-1 target=1 amount=1 action=
  tick 243  DAMAGE  source=-1 target=12 amount=1 action=
  tick 246  ACTION_FIRE  source=0 target=13 amount=0 action=priest_smite
  tick 246  DAMAGE  source=0 target=13 amount=7 action=priest_smite
  tick 247  DAMAGE  source=-1 target=12 amount=1 action=
  tick 248  DAMAGE  source=-1 target=0 amount=1 action=
  tick 250  DAMAGE  source=-1 target=0 amount=1 action=
  tick 250  DAMAGE  source=-1 target=12 amount=1 action=
  tick 251  DAMAGE  source=-1 target=12 amount=1 action=
  tick 252  DAMAGE  source=-1 target=12 amount=1 action=
  tick 253  ACTION_START  source=3 target=12 amount=0 action=abomination_claw
  tick 253  ACTION_START  source=13 target=0 amount=0 action=ghoul_maul
  tick 253  DAMAGE  source=-1 target=0 amount=1 action=
  tick 253  DAMAGE  source=-1 target=12 amount=1 action=
  tick 254  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 254  DAMAGE  source=-1 target=12 amount=1 action=
  tick 255  DAMAGE  source=-1 target=0 amount=1 action=
  tick 255  DAMAGE  source=-1 target=12 amount=1 action=
  tick 256  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 256  ACTION_START  source=2 target=12 amount=0 action=siege_shot
  tick 256  DAMAGE  source=-1 target=0 amount=1 action=
  tick 256  DAMAGE  source=-1 target=1 amount=1 action=
  tick 257  ACTION_START  source=12 target=3 amount=0 action=ghoul_maul
  tick 257  DAMAGE  source=-1 target=12 amount=1 action=
  tick 258  DAMAGE  source=-1 target=12 amount=1 action=
  tick 259  DAMAGE  source=-1 target=0 amount=1 action=
  tick 259  DAMAGE  source=-1 target=1 amount=1 action=
  tick 259  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_claw
  tick 259  DAMAGE  source=3 target=12 amount=13 action=abomination_claw
  tick 259  STATUS_APPLIED  source=3 target=12 amount=0 action=abomination_claw
  tick 259  DAMAGE  source=-1 target=12 amount=1 action=
  tick 261  DAMAGE  source=-1 target=0 amount=1 action=
  tick 261  DAMAGE  source=-1 target=1 amount=1 action=
  tick 262  DAMAGE  source=-1 target=12 amount=1 action=
  tick 263  DAMAGE  source=-1 target=1 amount=1 action=
  tick 263  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 263  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 263  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 264  DAMAGE  source=-1 target=0 amount=1 action=
  tick 264  ACTION_FIRE  source=2 target=12 amount=0 action=siege_shot
  tick 264  DAMAGE  source=2 target=12 amount=22 action=siege_shot
  tick 264  DAMAGE  source=-1 target=12 amount=1 action=
  tick 266  DAMAGE  source=-1 target=12 amount=1 action=
  tick 266  ACTION_FIRE  source=13 target=0 amount=0 action=ghoul_maul
  tick 266  DAMAGE  source=13 target=0 amount=18 action=ghoul_maul
  tick 266  DEATH  source=13 target=0 amount=0 action=ghoul_maul
  tick 268  DAMAGE  source=-1 target=1 amount=1 action=
  tick 269  ACTION_START  source=3 target=12 amount=0 action=abomination_claw
  tick 269  DAMAGE  source=-1 target=1 amount=1 action=
  tick 269  DAMAGE  source=-1 target=12 amount=1 action=
  tick 270  ACTION_FIRE  source=12 target=3 amount=0 action=ghoul_maul
  tick 270  DAMAGE  source=12 target=3 amount=18 action=ghoul_maul
  tick 270  DAMAGE  source=-1 target=12 amount=1 action=
  tick 272  DAMAGE  source=-1 target=1 amount=1 action=
  tick 273  DAMAGE  source=-1 target=1 amount=1 action=
  tick 274  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 274  DAMAGE  source=-1 target=1 amount=1 action=
  tick 274  DAMAGE  source=-1 target=12 amount=1 action=
  tick 275  ACTION_FIRE  source=3 target=12 amount=0 action=abomination_claw
  tick 275  DAMAGE  source=3 target=12 amount=17 action=abomination_claw
  tick 275  STATUS_APPLIED  source=3 target=12 amount=0 action=abomination_claw
  tick 275  DAMAGE  source=-1 target=12 amount=1 action=
  tick 276  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 276  ACTION_START  source=2 target=12 amount=0 action=siege_shot
  tick 276  DAMAGE  source=-1 target=12 amount=1 action=
  tick 278  DAMAGE  source=-1 target=1 amount=1 action=
  tick 279  DAMAGE  source=-1 target=12 amount=1 action=
  tick 281  DAMAGE  source=-1 target=12 amount=1 action=
  tick 283  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 283  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 283  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 283  DAMAGE  source=-1 target=12 amount=1 action=
  tick 284  ACTION_FIRE  source=2 target=12 amount=0 action=siege_shot
  tick 284  DAMAGE  source=2 target=12 amount=18 action=siege_shot
  tick 284  DEATH  source=2 target=12 amount=0 action=siege_shot
  tick 290  DAMAGE  source=-1 target=1 amount=1 action=
  tick 291  DAMAGE  source=-1 target=1 amount=1 action=
  tick 295  DAMAGE  source=-1 target=1 amount=1 action=
  tick 298  ACTION_START  source=11 target=1 amount=0 action=cultist_bolt
  tick 298  DAMAGE  source=-1 target=1 amount=1 action=
  tick 300  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 300  ACTION_START  source=2 target=13 amount=0 action=siege_shot
  tick 301  DAMAGE  source=-1 target=1 amount=1 action=
  tick 305  DAMAGE  source=-1 target=1 amount=1 action=
  tick 307  ACTION_FIRE  source=11 target=1 amount=0 action=cultist_bolt
  tick 307  DAMAGE  source=11 target=1 amount=7 action=cultist_bolt
  tick 307  STATUS_APPLIED  source=11 target=1 amount=0 action=cultist_bolt
  tick 308  ACTION_FIRE  source=2 target=13 amount=0 action=siege_shot
  tick 308  DAMAGE  source=2 target=13 amount=19 action=siege_shot
